,fonte,titulo1,titulo2,artista,letra
0,https://www.letras.mus.br/mc-doni/te-amo-sem-compromisso-to-nem-ai/,Te Amo Sem Compromisso (To Nem Aí),Te Amo Sem Compromisso (To Nem Aí),MC Doni," 
Não adianta tu se declarar
Romance, compromisso, comigo não rola
Te avisei pra não se apegar
Tá gamada, gatona, e agora?


Tá provando do próprio veneno
O mundo deu volta e a vida é assim

Ontem eu falei que te amava, mas hoje eu já te esqueci
Tô nem aí, tô nem aí
Pra você que gostava de brincar de iludir
Tô nem aí, tô nem aí

Ontem eu falei que te amava, mas hoje eu já te esqueci
Tô nem aí, tô nem aí
Pra você que gostava de brincar de iludir
Tô nem aí, tô nem aí
 "
1,https://www.letras.mus.br/mc-kevin-o-cris/evoluiu-part-sodre/,Evoluiu (part. Sodré),Evoluiu (part. Sodré),MC Kevin o Chris," 
Evoluiu! Ritmo agressivo, 150 fluiu
Levando levadas que você nunca ouviu
Eu sou o Rio!


Vai, brisa na vibe do Kevin O Chris
Do tamborzão que te faz mexer
Seja no Lins ou no PPG
Pode começar a descer

Vai, brisa na vibe do Kevin O Chris
Do tamborzão que te faz mexer
Seja no Lins ou no PPG
Pode começar a descer

Habilidosa, ela vem jogando
Abre e fecha, quicadinha
Passa em mim sensualizando
Eu dou aquela sarradinha

Habilidosa, ela vem jogando
Abre e fecha, quicadinha
Passa em mim sensualizando
Eu dou aquela sarradinha

Fim de semana é de lei
Que os cria vai ficar suave
Se nós chamar, sei que elas vem
Pra baile de comunidade

Já avisei pro Kevin O Chris
Pra soltar couro de verdade
Que se foda a minha ex
Hoje tem baile da gaiola

Arrasta a pepeca no chão
Se envolveu com os cria certo e é só catucadão
Se envolveu com os cria certo e é só catucadão
Se envolveu com os cria certo e é só catucadão
 "
2,https://www.letras.mus.br/mc-davi/love-66-part-mc-rita-mc-hariel-e-gaab/,"Love 66 (part. MC Rita, MC Hariel e Gaab)","Love 66 (part. MC Rita, MC Hariel e Gaab)",MC Davi," 
[MC Davi]
Você me tira do sério
Eu fazia o que eu queria
Não faço mais o que eu quero
Tomou conta da minha vida
Pelo menos sou sincero
Eu te chamando de linda
Tomo gin, Red Bull amarelo
Gin com tônica azeda o clima
Você me chama de esperto
Eu te acho a mina mais linda
Se faz de difícil e eu quero
Pra você é fácil me negar, menina


Sabe aquela essência que cê gosta?
Sabe aquela essência que cê fuma?
Vou passar fumaça na sua boca
Na intenção de passar a mão na nuca
Vou pedir Love 66
Depois vou fazer um 69
Hoje eu te chupo inteira
Você é a essência que eu mais gosto

Pode pá, vou te esperar nesse lounge
Até mais tarde tô lá
Pode pá, vou te esperar nesse lounge
Até mais tarde tô lá

[MC Rita]
Creio que você me perdeu
Pode ser que esteja enganada
Esse sentimento é meu
Mas meu coração que fala
Cê fala que quem manda é eu
Mas não me obedece em nada
Minha amiga apareceu
Me chamou pra fumar um narga

Sabe aquela essência que cê gosta?
Sabe aquele essência que cê fuma?
Tentaram beijar a minha boca
Só deixei passar a mão na nuca
Vou pedir Love 66
Corre até pra ter o 69
Hoje eu vivo solteira
Você é a raiva que eu mais gosto

Pode pá, vou te esperar nesse lounge
Até mais tarde, vem cá
Pode pá, vou te esperar nesse lounge
Até mais tarde

[MC Hariel]
Você é gostosa e sensual
E sabe disso e por isso joga na cara
Mostra o que cê tem pra dar
Mas eu não sou legal
Nem sou do tipo que se faz do tipo
Que não é a minha cara
Quero que se foda o que cês vão pensar
E ela gosta de fumaça, eu bolo um beck
E ela gosta de dançar, eu faço a track
Ela veio pra tumultuar, eu acompanho o pique
Hoje o jet tá mec, ô
Mec, mec, mec, mec, mec
Somos o que somos e isso causa inveja
Em quem não tem personalidade
Vivemos sonhando e transformando
O pouco que temos em muita felicidade
Quando o grave bate, a bunda dela treme
Se a fumaça sobe, dá uma brisa e ela quer sentar no pai
Pode pá, que nesse lounge eu vou te esperar
E nessa noite vai que vai

Pode pá, vou te enfeitiçar nesse lounge
Ela me pede adrenalina, é claro que eu proporciono, então
Pode pá, vou te enfeitiçar nesse lounge
Ela é um foguetão da NASA, eu sou o piloto e estaciono, então

[Gaab]
Sua essência chocomenta, um som rolando e um narguilé
Você quer passar fumaça, deixa, eu passo pra você
Quanto mais neblina a sala, mais eu quero te satisfazer, satisfazer
Porque você me faz tão bem (bem)
Sempre quando eu chamo cê vem (vem)
Tratamento vip, eu sei (ei)
Eu sei (ei)
Porque você me faz tão bem (bem)
Sempre quando eu chamo cê vem (vem)
Tratamento vip, eu sei (ei)
Eu sei, eu sei, eu sei

Sabe aquela essência que cê gosta?
Sabe aquele essência que cê fuma?
Vou passar fumaça na sua boca
Com a intenção de passar a mão na bunda
Vou pedir Love 66
Depois eu vou fazer um 69
Hoje eu te chupo inteira
Você é a essência que eu mais gosto

[Gaab e MC Davi]
Pode pá, vou te esperar nesse lounge
Até mais tarde tô lá
Pode pá, vou te esperar nesse lounge
Até mais tarde tô lá

[Gaab]
Pode pá, vou te esperar nesse lounge
Até mais tarde
 "
3,https://www.letras.mus.br/ludmilla/invocada-part-leo-santana/,Invocada (part. Léo Santana),Invocada (part. Léo Santana),Ludmilla," 
Eu te amava, não posso negar
Também sofria, não posso mentir
Agora sou eu que não te quero mais aqui


Aprendi a viver sem você
Superei a emoção que eu tinha
Agora tô livre e solteira na pista

Se conforma, eu não vou voltar
Agora tu vai ver o que é sofrer
Vou te ensinar como se bota pra fuder

Desço empinando a bunda, subo com a mão no cabelo
Quebro, de ladinho, quebro, na boquinha eu levo o dedo
Desço empinando a bunda, subo com a mão no cabelo
Quebro, de ladinho, quebro, na boquinha eu levo o dedo

Se eu me invocar

Desço empinando a bunda, subo com a mão no cabelo
Quebro, de ladinho, quebro, na boquinha eu levo o dedo
Desço empinando a bunda, subo com a mão no cabelo
Quebro, de ladinho, quebro, na boquinha eu levo o dedo

Você me ama, não dá pra negar
E tá sofrendo, não dá pra mentir
Para de ser boba que eu te quero bem aqui

Eu não posso viver sem você
Você também não fica sozinha
Encontro marcado, a gente se esbarra na pista

Diz que vai, mas só pensa em voltar
Sabe que a gente tem tudo a ver
Quando bate o grave a gente bota pra ferver

Desço empinando a bunda, subo com a mão no cabelo
Quebro, de ladinho, quebro, na boquinha eu levo o dedo
Desço empinando a bunda, subo com a mão no cabelo
Quebro, de ladinho, quebro, na boquinha eu levo o dedo

Se eu me invocar

Eu desço empinando a bunda, subo com a mão no cabelo
Quebro, de ladinho, quebro, na boquinha, levo o dedo
Desço empinando a bunda, subo com a mão no cabelo
Quebro, de ladinho, quebro, na boquinha eu levo o dedo
 "
4,https://www.letras.mus.br/mc-magal/positividade-part-mc-bola/,Positividade (part. MC Bola),Positividade (part. MC Bola),MC Magal," 
Tá torcendo contra o meu progresso
Tá preocupado com meu sucesso
Eu sei quem trama e quem tá comigo
Cansei de dar moral pra falso amigo


A ingratidão é virtude dos fracos
Eu não sou daqueles que cospe no prato
Vou na fé, tô firmão, tranquilão, tô na paz
Dá licença aqui, que eu tô correndo atrás

Tu lembra dos menor ralé
Que você tirou de mané?
Hoje a firma tá de pé
Tá em construção o castelo da fé
Tô vendo os invejoso voltando de ré

É assim que é
É assim que é
Malandro é malandro e mané é mané
Coração de vagabundo bate na sola do pé
Toda positividade remando contra a maré

É assim que é
É assim que é
Malandro é malandro e mané é mané
Coração de vagabundo bate na sola do pé
Toda positividade remando contra a maré
 "
5,https://www.letras.mus.br/mc-rodson/mas-pode-ate-falar-de-mim-to-nem-ai/,"Mas Pode Até Falar de Mim, Tô Nem Aí","Mas Pode Até Falar de Mim, Tô Nem Aí",MC Rodson," 
Mas só que a mina é muito linda
E logo assim cheio de malote sentada perto de mim


Tô de boa na sucessada
Um belo dia eu sabia que ia girar
Mas pode até falar de mim
Tô nem ai
Quanto mais fala meu cavalo anda aqui

Mó parada na sucessada
Um belo dia eu sabia que ia girar

Mas só que a mente é talentosa
E logo assim cheio de malote sentada perto de mim
E tô de boa na sucessada
Um belo dia sabia que ia girar

Mas a bagaça tá no bolso e tá gostoso
Tô marolando curtindo um bagulho novo

Tô de boa na sucessada
Um belo dia eu sabia que ia girar
Mas pode até falar de mim
Tô nem ai
Quanto mais fala meu cavalo anda aqui

Mas só que a mina é muito linda
E logo assim cheia de malote sentada perto de mim

Tô de boa na sucessada
Um belo dia eu sabia que ia girar
Mas pode até falar de mim
Tô nem ai
Quanto mais fala meu cavalo anda aqui

E mó parada na sucessada
Um belo dia eu sabia que ia girar

Mas só que a mente é talentosa
E logo assim cheia de malote sentada perto de mim
E tô de boa na sucessada um belo dia sabia que ia girar

Mas a bagaça tá no bolso e tá gostoso
Tô marolando curtindo bagulho novo

Tô de boa na sucessada
Um belo dia eu sabia que ia girar
Mas pode até falar de mim
Tô nem ai
Quanto mais fala meu cavalo anda aqui
 "
6,https://www.letras.mus.br/mc-cabelinho/era-uma-vez/,Poesia Acústica #6 - Era Uma Vez,Poesia Acústica #6 - Era Uma Vez,MC Cabelinho," 
[MC Cabelinho]
Oh, fé
(Poesia)
Passa nada e nem pode
Cabelinho tá aí
Malak e Slim, Paulinho


Era uma vez, curtindo o final de semana
Brotei com ela lá no baile da Colômbia
Nós dois ficou na onda, rebola, tua malandra
Tocou 150, o teu bumbum balança
Fico tranquilo quando eu tô do lado dela
Faz mó questão de vir da pista pra favela
Ficou encantada com a vista da minha janela
E trocou o petit gateau pelo meu pão com mortadela
Ela é mó gata
E tem uma cara que não vale nada
Tirou a roupa e ela pelada
Me encanta, me olha, me chama, me beija, me arranha
É tão gostoso esse momento que nós tem na cama
Fé!
No outro dia ela me disse assim
Tô com saudade, volta, Cabelin!
E ela sabe que eu gosto
Por isso que eu volto com ela
É só tu ligar pedindo um colo
Eu vou fazer de tudo pra você ficar
Mas é que eu vivo no meu mundo e tô sempre perdido
E se um dia a correria não colaborar
Prometo que arrumo um tempo pra ficar contigo
Ô, garota, sei que você gosta muito desse clima
Sei que você quer um pouco da minha brisa
Só peço que me entenda, essa é a minha louca vida

[Orochi]
Vivendo longe de qualquer vestígio de negatividade
Eu quero o corpo nu daquela divindade
 até os deuses te aplaudem
Tudo começou depois que eu levantei o seu vestido no paredão do baile
A bunda dela é verdadeira obra de arte
Ela me olhava com esse sorriso covarde
Joia mais exótica em qualquer detalhe
Nossa raiz é o trap life, baby, cê já sabe
Trip me deixou mais rico, Poesia nem me fale
Isso é só um detalhe, a vitrine é toda sua
Ela sabe que a simplicidade é o topo da luxúria
Não preciso dizer que eu sou o melhor do jogo
Poder ouvir dizendo bem baixinho nos meus ouvidos
Som baixo, volume cinco, vontade enganou libido
Verdade, isso é proibido e na vibe gostamos disso
Alucinada como se vivesse um faz de conta
Como se nada fosse capaz de cortar sua onda
Ela é experiente, permanece em presença leve
Estranho é que nunca me incomoda, ela é como uma sonda
Escolhe a grana enquanto os cana tão fazendo a ronda
Escolhe o seu lado bom que os falso tão fazendo a ronda
Ela é experiente, sentando me deixa mais leve
Estranho é que eu nunca me incomodei
Por isso eu quero te ver quando acordar
Sentir todo dia o seu sabor
Assim como eu vejo o céu
Assim como eu vejo o Sol
Cê vê como o tempo voa
Eu quero te ver quando acordar
Sentir todo dia o seu sabor
Assim como eu vejo o céu
Assim como eu vejo o Sol
Cê vê como o tempo voa
Poesia

[Bob do Contra]
Meu sonho vai virar novela, vai ser de verdade
Uma história de eu e ela cantando em bares
Bebendo em bares e que se dane o mundo
Guerreiro não amarela, é nós e cê já sabe
Eu faço isso pra nós viajar pra Califórnia
Colher do pé as frutas, viver do agora
A culpa é sua, cê me viciar no seu cheiro
A culpa é sua eu nunca pensar em ir embora
Já disse que eu não tenho preço, eu só tenho pressa
O que se leva dessa vida é vida que se leva
Agora todo mundo odeia acústico
Mas acredito que, no fundo, eu ando fazendo a coisa certa
Eu faço isso pra nós viajar pra Europa
Viver do bem bom; só vem, se joga
A culpa é sua eu me viciar no seu jeito
É que por dentro eu sempre choro quando você chora
E, nessa noite, olha pro céu
O seu perfume tem sabor de mel
Não te trouxe flores, mas te trouxe dores
Eu te trouxe o Sol
Eu falei de cores, eu falei de amores
Baby, sem você, tudo tão sem sal

[Maquiny]
Meu mundo parou quando eu te vi no baile
Acho que esse teu jeito combinou com a minha vibe
Doce e delicada, mas cheia de maldade
Antes da realidade, ela é minha flor de mate
Esperei pelo momento certo só pra te impressionar
Tu cheia de marra, tentando me ignorar
Mas seu olhar já dizia tudo
Roubei teu coração, te trouxe pro meu mundo
Ela mora na Zona Sul e quer vir pra favela
Pior que hoje eu tô sem grana pra sair com ela
Então bota o som no radin, joga a fumaça pro ar
Só preciso de nós, um beck e umas cerva
Pegando um Sol na minha laje, ela me hipnotiza
Do alto do morrão nós tá curtindo a brisa
Eu quero o que é melhor pra nós, eu vou ficar rico
E pra te colocar num Porsche eu tô na correria
De rolé na Califa, pagando tudo à vista
Portando Versacci, brinco e colar de cristal
Acordar do seu lado pro resto da vida
Vem, nêga, tamo junto sempre até o final

[Azzy]
Nem sei
Vou dançar
Me esquecer
Do meu próprio valor
Não me importo com a dor
De viver sem você
Sem você, sem amor
Eu, com toda essa estrada que não tem saída
Lembrando da história que fala de nós
Contigo eu tô tentando arrumar minha vida
Bagunçando ela embaixo dos lençóis
Eu sei que a gente não se dá tão bem
Mas se eu te ligar, sei que tu vem
E se quiser ficar com outro alguém
Por mim tá tudo bem
Segue o baile, vai
Segue o baile, vai
Não somos obrigados a voltar atrás
Segue o baile, vai
Segue o baile, vai
Eu não vou te esquecer
Mas não trago comigo
Vai dar merda de novo
Vamo correr perigo
Escondido é gostoso
Mas somos só amigos
E quando amanhecer
Baby, eu não, eu não vou tá contigo

[Filipe Ret]
Ela tem namorada e queria ménage
Não era amor, era libertinagem
Deus perdoa se esse quarto falasse
A noite toda elas tão dançando Vai Malandra
Não quero que acabe
Prazer da carne enveredou pela garagem
Elas não vão parar nem se a mãe ligasse
Cumpadi, eu tô fumando o beck devagar
Mas fudendo no hard
Meu sonho é de verdade
Nêgo, não é viagem
Otário detesta, Ret não presta
Vou promover mais festa só de sacanagem
Cê tá ligado que o presente é nossa melhor fase
Que viver faz bem, que o valor tá na simplicidade
Cama, orgia, orgia, cama, cagar pra fama
Quero essa vida pra eternidade
Acende aquela, nêgo, porra, pega a vibe!
Elas tão mais de um mês morando no meu Audi
No meu banco o caramelo, amor deita a vontade
Faça amor, não faça guerra
Essa é a mensagem
Positividade e fé pra isso
Pela felicidade
Cê sabe bem que altos e baixos fazem parte
A vida é bela, mas só pra quem tem coragem
Hoje eu tô ligado que se existe o paraíso, elas são a passagem
Boemia é nossa válvula de escape
Viver bem é minha definição de hype (ooh)

[Dudu]
E seja pra mim só
Seja pra mim só (oh, fé)
Eu sei que você é só sua
Assim como eu sou só meu
Não temos donos, nós somos donos da porra toda
Sejamos nossos, você e eu
Casal mais foda de Konoha, trouxemos paz
Pra essas guerras cotidianas trouxemos voz
Sem mas, sem mais, só mais pra nós
Sei lá, sou mais só nós, só nos lençóis
A vida não é fácil que nem viver
Cê sabe, é só medo de te perder
Queria te dar o mundo, mas meu mundo é você
Quando eu me torno nós parece um superpoder
Linda, seque as lágrimas, que hoje a gente brinda
Tentaram nos fuder, só que nós fode mais ainda
Conheço tuas curvas na palma da mão
E o seu corpo na ponta da língua
Me tem na sua palma e você sabe bem
Te tenho no coração, favor não partir
Seja pra mim só
Só pra mim

[Xamã]
O meu quarto ainda tem o seu cheiro
De amor e sacanagem
Ô, governador, o senhor abaixa o preço da passagem
Que pra casa da cheirosa é mó viagem
Na moral, sacanagem
Então deixa eu provar sua boca, mexa
Só love, só love
Flow Claudinho e Buchecha
Metamorfose ambulante ali do ambulante
No melhor estilo Raul Seixas
Atravessando o Rio sem ter nem passagem
Sozinho e cheio de fome ouvindo Sabotage
Os bucha detesta
Xamã não presta
Eu quero ver melhor e quero novidade
A sereia mais doida do mar
Sentada na pedra
Expulsa de casa porque não cumpria a regra
Viu a Lua te falar
Que o amor bem dado não se nega
Era melô do camelô em Copacabana
Que namorava uma bandida de Ipanema
Não tinha grana pra comprar roupa bacana
Te disse: Meu amor, te trouxe esse poema
Eu te trouxe flores, eu te trouxe Brahma, eu te trouxe Skol
Ela gostou do Xamã
Falou que era segredo e me guardou dentro do seu sutiã
Eu quero ver seu corpo beber
Te encontro às nove
Você vai me ver na TV fazendo uns corre
Tô gravando o meu DVD
Xamã tá no TVZ
Se for loucura nova a gente se resolve
Fé pra isso
Vai no love pra não ter que usar o resolve
Eu não sei qual o seu DDD
Falou bem que eu sigo você
Se for pra separar depois, nós se devolve
Se dissolve
Como se não fosse nada
Explicando quase tudo
Seja pra mim só o seu amor malvadin'
 "
7,https://www.letras.mus.br/mc-th/deixa-part-xama-e-wc-no-beat/,"Deixa (part. Xamã, WC no Beat e Pep Starling)","Deixa (part. Xamã, WC no Beat e Pep Starling)",MC TH ," 
[MC TH]
Aí, se não for pedir muito
Pega um copo de café e um maço de cigarro
Pra eu ficar daqui só viajando
Olhando você pelada dando uns tragos
Sua cor reluz quando tá suada
Sua cara muda quando tá tarada
Me olhou por cima do ombro do nada
Imagina a posição que ela tava


E quem dera se você pudesse deixar 
Eu desvendar um pouco do seu corpo
Sabe que nós não desiste nunca
Se não for nessa, nós pede de novo
E quem dera se você pudesse deixar 
Eu desvendar um pouco do seu corpo
Deixa, deixa, deixa, deixa
Deixa, deixa

Então deixa que vai dar bom
Nossa mistura na cama até merece um som
Plaqtududum no colchão
Ela falando baixinho: Vai, não para, não
Então deixa que vai dar bom
Nossa mistura na cama até merece um som
Plaqtududum no colchão
Ela falando baixinho: Vai, não para, não
Vai, não para, não

[Xamã]
Eu quero ter você, menina
Cê é minha dor de cabeça, eu sou sua aspirina
Fico no Baixo Méier, você vem por cima
Se me vê, se empina
Xamã te dando ideia paradão na esquina
Bom de papo, bom de bola e bom de rima
Ouve na balada, ouve na faxina
Hoje não quer nada, só uma marolada
Dar uma namorada boa na piscina

Quando vê, me beija; a sua perna fraqueja
A trouxe flow roubado e uma garrafa de cerveja
Por aqui tá rap, cê tá Sexta Sertaneja
Cheirosa de cereja
Então deixa eu provar sua boca ameixa
Eu sou seu chinesinho, você minha gueixa
Vim de good vibe, flow Ganesha
Porta que Deus abre, ninguém fecha
Maldosa a princesa

[Xamã &amp; MC TH]
Deixa
Um pouco mais pra baixo da sua bochecha
Deixa
Então deixa
Um pouco mais pra baixo da sua bochecha
Deixa, deixa, deixa

[MC TH]
Então deixa que vai dar bom
Nossa mistura na cama até merece um som
Plaqtududum no colchão
Ela falando baixinho: Vai, não para, não
Então deixa que vai dar bom
Nossa mistura na cama até merece um som
Plaqtududum no colchão
Ela falando baixinho: Vai, não para, não
Vai, não para, não
 "
8,https://www.letras.mus.br/mc-kevin-o-cris/hit-contagiante/,Hit Contagiante (part. Felipe Original),Hit Contagiante (part. Felipe Original),MC Kevin o Chris," 
Se liga aí, malvada, no que agora eu vou mandar
Um som diferenciado que vai te fazer dançar
JS no comando, vai mandar pra todas elas
Ritmo contagiante, vai entrar na mente delas
Ritmo contagiante, vai entrar na mente delas
Manda pras safadinhas


Evoluiu
Ritmo agressivo, 150 fluiu
Levando levadas que você nunca ouviu
Evoluiu
Vai, brisa na vibe do Kevin o Chris
No tamborzão que te faz mexer
Te faz mexer, te faz mexer

Seja no Lins ou no PPG
Pode começar a des−des−des−des−descer
No tamborzão que te faz mex−mex−mex−mex−mexer
Pode começar a des−des−des−des−descer
No tamborzão que te faz mex−mex−mex−mex−mexer
Eu dou aquela sarradinha

Se liga aí, malvada, no que agora eu vou mandar
Um som diferenciado que vai te fazer dançar
Manda pras safadinhas

Se liga aí, malvada, no que agora eu vou mandar
Um som diferenciado que vai te fazer dançar
JS no comando, vai mandar pra todas elas
Ritmo contagiante, vai entrar na mente delas
Ritmo contagiante, vai entrar na mente delas
Manda pras safadinhas

Evoluiu
Ritmo agressivo, 150 fluiu
Levando levadas que você nunca ouviu
Evoluiu
Vai, brisa na vibe do Kevin o Chris
No tamborzão que te faz mexer
Te faz mexer, te faz mexer

Seja no Lins ou no PPG
Pode começar a des−des−des−des−descer
No tamborzão que te faz mex−mex−mex−mex−mexer
Pode começar a des−des−des−des−descer
No tamborzão que te faz mex−mex−mex−mex−mexer
Eu dou aquela sarradinha

Se liga aí, malvada, no que agora eu vou mandar
Um som diferenciado que vai te fazer dançar
Manda pras safadinhas
 "
9,https://www.letras.mus.br/ludmilla/a-boba-fui-eu-part-jao/,A Boba Fui Eu (part. Jão),A Boba Fui Eu (part. Jão),Ludmilla," 
Se era isso que você queria
Uma noite apenas
Você vai ter o que quer de mim
Um lance sem compromisso e fim


Se era isso que você queria
Uma noite só
Sem sentimentos, vai ser assim
Você vai ter o que quer de mim

E a boba fui eu
Que quis acreditar que era amor
Você não mereceu
Mas o meu coração se entregou

Quem mandou eu me apaixonar
Quem mandou eu não me controlar
Quem mandou eu me entregar
Quem mandou eu me apegar
A boba fui eu, a boba fui eu

Quem mandou ficar na tua mão
Quem mandou te dar meu coração
Quem mandou eu me entregar
Quem mandou eu me apegar
A boba fui eu, a boba fui eu

A boba fui eu
A boba fui eu

Se era isso que você queria
Uma noite apenas
Você vai ter o que quer de mim
Um lance sem compromisso e fim

E o bobo fui eu
Que quis acreditar que era amor
Você não mereceu
Mas o meu coração se entregou

Quem mandou eu me apaixonar
Quem mandou eu não me controlar
Quem mandou eu me entregar
Quem mandou eu me apegar
O bobo fui eu, o bobo fui eu

Quem mandou ficar na tua mão
Quem mandou te dar meu coração
Quem mandou eu me entregar
Quem mandou eu me apegar
O bobo fui eu, o bobo fui eu

Quem mandou eu me apaixonar
Quem mandou eu não me controlar
Quem mandou eu me entregar
Quem mandou eu me apegar
O bobo fui eu (fui eu, fui eu)

Eu na tua mão
Quem mandou te dar meu coração
Quem mandou eu me entregar
Quem mandou eu me apegar
O bobo fui eu, a boba fui eu

A boba fui eu
O bobo fui eu (a boba fui eu)

Se era isso que você queria
Se era isso que você queria (você queria)
Se era isso que você queria
 "
